Agency Name,Bureau Name,Account Name,2013,2014
Department of Homeland Security,Customs and Border Protection,"Air and Marine Interdiction, Operations, Maintenance, and Procurement",507000,428000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Army",522000,427000
Department of Justice,Office of Justice Programs,Community Oriented Policing Services,163000,426000
Department of the Interior,United States Fish and Wildlife Service,Sport Fish Restoration,462000,421000
Department of Energy,Energy Programs,Fossil Energy Research and Development,495000,421000
Department of the Interior,Department-Wide Programs,Payments in Lieu of Taxes,401000,410000
Department of Justice,Office of Justice Programs,Violence against Women Prevention and Prosecution Programs,400000,407000
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,408000,406000
Department of Veterans Affairs,Departmental Administration,General Administration,419000,403000
Department of Health and Human Services,Health Resources and Services Administration,"Maternal, Infant, and Early Childhood Home Visiting Programs",400000,400000
Department of Energy,National Nuclear Security Administration,Office of the Administrator,413000,398000
Department of Housing and Urban Development,Public and Indian Housing Programs,Choice Neighborhoods,121000,398000
Department of Housing and Urban Development,Housing Programs,Housing for the Elderly,377000,398000
Department of the Treasury,Fiscal Service,Federal Reserve Bank Reimbursement Fund,331000,395000
Department of Defense--Military Programs,Family Housing,"Family Housing Operation and Maintenance, Navy and Marine Corps",370000,390000
Department of Defense--Military Programs,Family Housing,"Family Housing Operation and Maintenance, Air Force",432000,389000
Department of Labor,Office of Workers' Compensation Programs,Special Benefits,393000,384000
Department of Housing and Urban Development,Management and Administration,Housing Personnel Compensation and Benefits,394000,383000
Department of Labor,Mine Safety and Health Administration,Salaries and Expenses,376000,381000
Department of Energy,Energy Programs,Advanced Research Projects Agency,277000,379000
International Assistance Programs,Peace Corps,Peace Corps,377000,379000
Department of the Treasury,Fiscal Service,"Salaries and Expenses, Fiscal Service",393000,360000
Department of Justice,Drug Enforcement Administration,Diversion Control Fee Account,336000,356000
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Salaries and Expenses,338000,353000
Department of Education,Office of Special Education and Rehabilitative Services,Rehabilitation Services and Disability Research,391000,353000
Department of Homeland Security,Customs and Border Protection,"Border Security Fencing, Infrastructure, and Technology",399000,351000
Department of Labor,Departmental Management,Salaries and Expenses,348000,348000
Department of Agriculture,Forest Service,Forest Service Permanent Appropriations,300000,347000
International Assistance Programs,International Security Assistance,Peacekeeping Operations,386000,347000
Department of Homeland Security,Immigration and Customs Enforcement,Immigration and Customs Enforcement,312000,345000
Department of Veterans Affairs,Departmental Administration,"Construction, Major Projects",801000,342000
Department of Homeland Security,Customs and Border Protection,"Automation Modernization, Customs and Border Protection",331000,340000
Department of Homeland Security,United States Coast Guard,Operating Expenses,597000,340000
Department of Agriculture,Forest Service,Forest and Rangeland Research,326000,337000
International Assistance Programs,Multilateral Assistance,Contribution to the International Bank for Reconstruction and Development,208000,336000
Department of Justice,General Administration,Administrative Review and Appeals,307000,333000
Department of Labor,Employment and Training Administration,Federal Unemployment Benefits and Allowances,222000,333000
Department of Housing and Urban Development,Community Planning and Development,Housing Opportunities for Persons with AIDS,334000,330000
Department of Agriculture,Forest Service,Capital Improvement and Maintenance,430000,329000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",361000,328000
Department of Homeland Security,Departmental Management and Operations,Office of the Chief Information Officer,324000,327000
Department of Justice,Office of Justice Programs,Juvenile Justice Programs,255000,325000
Department of the Interior,Office of the Special Trustee for American Indians,Tribal Special Fund,313000,324000
Department of Defense--Military Programs,Military Construction,"Military Construction, Army National Guard",803000,321000
International Assistance Programs,Multilateral Assistance,International Organizations and Programs,352000,321000
Department of the Treasury,Fiscal Service,Gulf Coast Restoration Trust Fund,320000,320000
Department of Labor,Office of Workers' Compensation Programs,Black Lung Disability Trust Fund,304000,316000
Department of the Interior,Insular Affairs,"Payments to the United States Territories, Fiscal Assistance",340000,315000
Department of Transportation,Federal Motor Carrier Safety Administration,Motor Carrier Safety Grants,310000,313000
Department of Defense--Military Programs,Operation and Maintenance,Office of the Inspector General,360000,312000
Department of the Treasury,Departmental Offices,Salaries and Expenses,310000,312000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Health Care Fraud and Abuse Control Account,312000,311000
Department of Homeland Security,Departmental Management and Operations,Analysis and Operations,340000,309000
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Program Account,506000,304000
National Science Foundation,National Science Foundation,Agency Operations and Award Management,301000,304000
Other Defense Civil Programs,Educational Benefits,Education Benefits Fund,307000,303000
Department of Health and Human Services,Departmental Management,General Departmental Management,477000,301000
Department of the Treasury,Internal Revenue Service,Business Systems Modernization,332000,301000
Department of State,Administration of Foreign Affairs,Payment to Foreign Service Retirement and Disability Fund,300000,300000
Department of the Treasury,Departmental Offices,Pay for Success,0,300000
Department of Health and Human Services,Administration for Children and Families,Contingency Fund,612000,293000
Department of Housing and Urban Development,Management and Administration,Information Technology Portfolio,200000,285000
Department of Commerce,Economic Development Administration,Economic Development Assistance Programs,221000,282000
Department of the Interior,Insular Affairs,Compact of Free Association,218000,281000
Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,260000,272000
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,183000,272000
Department of Justice,Legal Activities and U.S. Marshals,Fees and Expenses of Witnesses,270000,270000
Department of the Interior,Departmental Offices,Salaries and Expenses,624000,269000
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Judiciary Filing Fees,256000,268000
Department of Health and Human Services,Centers for Disease Control and Prevention,World Trade Center Health Program Fund,257000,267000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Marine Corps Reserve",299000,263000
Department of the Treasury,Internal Revenue Service,IRS Miscellaneous Retained Fees,189000,262000
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,258000,261000
Department of Transportation,Federal Motor Carrier Safety Administration,Motor Carrier Safety Operations and Programs,251000,259000
International Assistance Programs,Multilateral Assistance,Contribution to the African Development Bank,214000,257000
Department of Commerce,Bureau of the Census,Salaries and Expenses,255000,256000
Department of Defense--Military Programs,Operation and Maintenance,Department of Defense Acquisition Workforce Development Fund,106000,256000
Department of Homeland Security,United States Secret Service,"Contribution for Annuity Benefits, United States Secret Service",250000,255000
Department of the Treasury,Departmental Offices,Terrorism Insurance Program,108000,253000
Department of State,Other,United States Emergency Refugee and Migration Assistance Fund,27000,250000
Department of Homeland Security,Transportation Security Administration,Aviation Security,250000,250000
Department of Veterans Affairs,Departmental Administration,National Cemetery Administration,255000,250000
Department of Labor,Wage and Hour Division,Salaries and Expenses,229000,243000
Department of Health and Human Services,Health Resources and Services Administration,Vaccine Injury Compensation Program Trust Fund,242000,242000
Department of Homeland Security,Federal Law Enforcement Training Center,Salaries and expenses,240000,241000
Department of Agriculture,Forest Service,State and Private Forestry,346000,240000
Department of Defense--Military Programs,Military Construction,North Atlantic Treaty Organization Security Investment Program,249000,240000
Department of Homeland Security,United States Coast Guard,Maritime Oil Spill Programs,289000,239000
Department of Defense--Military Programs,Operation and Maintenance,"Environmental Restoration, Formerly Used Defense Sites",328000,237000
Department of Education,Office of Postsecondary Education,Howard University,235000,234000
Department of Agriculture,Departmental Management,Agriculture Buildings and Facilities and Rental Payments,232000,233000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Contract Support Costs,0,231000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",275000,228000
Department of Justice,Legal Activities and U.S. Marshals,United States Trustee System Fund,225000,226000
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund Program Account,222000,225000
International Assistance Programs,Multilateral Assistance,Contribution to the Asian Development Bank,208000,222000
Department of Housing and Urban Development,Management and Administration,Public and Indian Housing Personnel Compensation and Benefits,201000,220000
International Assistance Programs,Multilateral Assistance,Clean Technology Fund,186000,216000
Department of Labor,Employment and Training Administration,Short Time Compensation Programs,182000,215000
Department of Energy,Energy Programs,Non-defense Environmental Cleanup,237000,213000
Department of Homeland Security,Domestic Nuclear Detection Office,"Research, Development, and Operations",216000,211000
National Science Foundation,National Science Foundation,Major Research Equipment and Facilities Construction,168000,210000
Department of Transportation,Maritime Administration,Maritime Security Program,175000,208000
Department of Agriculture,Rural Development,Salaries and Expenses,183000,204000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Program Management,203000,203000
Department of the Treasury,Departmental Offices,Office of Financial Stability,306000,201000
Department of Justice,Legal Activities and U.S. Marshals,September 11th Victim Compensation (general Fund),322000,200000
Department of Energy,Energy Programs,Race to the Top for Energy Efficiency and Grid Modernization,0,200000
Department of Energy,Energy Programs,Energy Security Trust,0,200000
Department of the Interior,National Park Service,Recreation Fee Permanent Appropriations,195000,196000
Department of Labor,Employment and Training Administration,Federal Unemployment Benefits and Allowances,575000,196000
Department of Education,Office of Federal Student Aid,Teacher Education Assistance,3000,191000
Department of Energy,Energy Programs,Strategic Petroleum Reserve,194000,189000
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Abandoned Mine Reclamation Fund,210000,188000
Department of Homeland Security,United States Coast Guard,"Medicare-eligible Retiree Health Fund Contribution, Homeland Security",202000,187000
Department of Defense--Military Programs,"Research, Development, Test, and Evaluation","Operational Test and Evaluation, Defense",189000,186000
Department of Agriculture,Foreign Agricultural Service,McGovern-Dole International Food for Education and Child Nutrition Program,185000,185000
Department of Transportation,Federal Railroad Administration,Safety and Operations,180000,185000
Department of Veterans Affairs,Benefits Programs,Burial benefits,204000,184000
Department of Homeland Security,Transportation Security Administration,Transportation Threat Assessment and Credentialing,165000,181000
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Supplemental Payments to UMWA Health Plans,141000,180000
Department of Labor,Employee Benefits Security Administration,Salaries and Expenses,184000,180000
Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,177000,179000
Department of Commerce,National Institute of Standards and Technology,Industrial Technology Services,129000,174000
Department of Defense--Military Programs,Military Construction,"Military Construction, Army Reserve",282000,174000
Social Security Administration,Social Security Administration,State Supplemental Fees,162000,173000
Department of the Interior,National Park Service,Other Permanent Appropriations,165000,168000
Department of Health and Human Services,National Institutes of Health,National Institutes of Health,167000,167000
Department of Transportation,Federal Aviation Administration,"Research, Engineering and Development (Airport and Airway Trust Fund)",169000,166000
Department of Agriculture,Natural Resources Conservation Service,Watershed Rehabilitation Program,165000,165000
Department of Homeland Security,Federal Emergency Management Agency,National Flood Insurance Reserve Fund,0,162000
Department of Agriculture,National Agricultural Statistics Service,National Agricultural Statistics Service,160000,160000
Department of the Interior,National Park Service,Construction (and Major Maintenance),520000,160000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Operation of Indian Programs,179000,160000
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,156000,158000
Department of Agriculture,Agricultural Marketing Service,"Expenses and Refunds, Inspection and Grading of Farm Products",150000,157000
Department of Agriculture,Agricultural Research Service,Buildings and Facilities,0,155000
Department of Energy,Energy Programs,Electricity Delivery and Energy Reliability,135000,154000
Department of Transportation,Maritime Administration,Operations and Training,157000,152000
Department of Health and Human Services,Indian Health Service,Indian Health Services,150000,150000
Department of the Treasury,Departmental Offices,Treasury Inspector General for Tax Administration,153000,150000
Department of Transportation,Federal Transit Administration,Washington Metropolitan Area Transit Authority,151000,150000
Department of Transportation,National Highway Traffic Safety Administration,Operations and Research,141000,148000
Department of Agriculture,Food and Nutrition Service,Nutrition Programs Administration,139000,147000
Department of Transportation,Office of the Secretary,Payments to Air Carriers,144000,146000
Department of Homeland Security,Office of the Inspector General,Operating Expenses,145000,143000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",175000,141000
Department of the Interior,Office of the Special Trustee for American Indians,Federal Trust Programs,153000,140000
Department of the Treasury,Internal Revenue Service,Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,56000,140000
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Pipeline Safety,92000,137000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy",169000,135000
International Assistance Programs,Multilateral Assistance,Global Food Security Fund,136000,135000
Department of Defense--Military Programs,Trust Funds,Host Nation Support Fund for Relocation,296000,133000
Department of Labor,Office of Workers' Compensation Programs,Special Benefits for Disabled Coal Miners,163000,133000
Department of Labor,Office of Workers' Compensation Programs,Special Workers' Compensation Expenses,135000,133000
Department of the Treasury,Internal Revenue Service,Payment in Lieu of Tax Credit for New Jobs and Wage Increases,0,133000
Department of Commerce,National Oceanic and Atmospheric Administration,Promote and Develop Fishery Products and Research Pertaining to American Fisheries,132000,132000
Department of Homeland Security,National Protection and Programs Directorate,Office of Health Affairs,168000,132000
Department of Education,Office of Elementary and Secondary Education,Indian Student Education,132000,131000
Department of Labor,Office of Workers' Compensation Programs,"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",129000,129000
Department of Housing and Urban Development,Management and Administration,Office of Inspector General,135000,128000
Judicial Branch,Judicial Retirement Funds,Payment to Judiciary Trust Funds,125000,127000
Department of Justice,General Administration,Salaries and Expenses,112000,126000
Department of Housing and Urban Development,Housing Programs,FHA-mutual Mortgage Insurance Program Account,208000,126000
Department of Labor,Employment and Training Administration,Training and Employment Services,125000,125000
Department of the Treasury,Internal Revenue Service,Informant Payments,125000,125000
Department of Housing and Urban Development,Housing Programs,Housing for Persons with Disabilities,166000,125000
Department of Defense--Military Programs,Military Construction,"Chemical Demilitarization Construction, Defense-wide",76000,123000
Department of Justice,Office of Justice Programs,"Research, Evaluation, and Statistics",104000,123000
Social Security Administration,Social Security Administration,"FDI, General Fund Payments for Payroll Tax Holiday (PL 111-312)",-4612000,121000
Department of Defense--Military Programs,Military Construction,"Military Construction, Air National Guard",117000,120000
Department of Labor,Office of Workers' Compensation Programs,Salaries and Expenses,116000,120000
Department of Homeland Security,Citizenship and Immigration Services,Citizenship and Immigration Services,99000,120000
Department of State,Administration of Foreign Affairs,Office of the Inspector General,129000,119000
Department of Transportation,National Highway Traffic Safety Administration,Operations and Research (Transportation Trust Fund),116000,119000
Department of Housing and Urban Development,Office of Lead Hazard Control and Healthy Homes,Lead Hazard Reduction,121000,119000
Department of Education,Office of Special Education and Rehabilitative Services,Gallaudet University,126000,118000
Department of Energy,Departmental Administration,Departmental Administration,131000,118000
International Assistance Programs,Agency for International Development,Capital Investment Fund of the United States Agency for International Development.,130000,118000
Judicial Branch,Judicial Retirement Funds,Judicial Officers' Retirement Fund,107000,117000
Department of Energy,Energy Programs,Energy Information Administration,106000,117000
Department of the Interior,Bureau of Land Management,Oregon and California Grant Lands,113000,116000
Department of Transportation,Office of the Secretary,Essential Air Service and Rural Airport Improvement Fund,50000,116000
Department of Veterans Affairs,Departmental Administration,Office of Inspector General,113000,116000
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Regulation and Technology,124000,115000
Department of Labor,Employment and Training Administration,State Unemployment Insurance and Employment Service Operations,88000,113000
Department of the Treasury,Departmental Offices,Financial Research Fund,51000,113000
Department of Transportation,Office of the Secretary,Salaries and Expenses,103000,113000
Department of the Interior,Bureau of Reclamation,"Colorado River Dam Fund, Boulder Canyon Project",112000,111000
Department of Defense--Military Programs,Operation and Maintenance,"Overseas Humanitarian, Disaster, and Civic Aid",108000,110000
Department of the Treasury,Fiscal Service,Reimbursements to Federal Reserve Banks,113000,110000
Department of Transportation,Federal Transit Administration,Administrative Expenses,99000,110000
Department of Homeland Security,United States Coast Guard,Reserve Training,135000,110000
Department of Housing and Urban Development,Management and Administration,Community Planning and Development Personnel Compensation and Benefits,111000,110000
Department of Homeland Security,Transportation Security Administration,Surface Transportation Security,136000,109000
Department of Homeland Security,United States Coast Guard,Boat Safety,121000,109000
Department of Labor,Office of Federal Contract Compliance Programs,Salaries and Expenses,106000,108000
Department of Education,Departmental Management,Office for Civil Rights,104000,108000
Department of Agriculture,Forest Service,Forest Service Trust Funds,263000,107000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Construction,124000,107000
International Assistance Programs,International Security Assistance,International Military Education and Training,106000,106000
Department of Health and Human Services,Departmental Management,General Departmental Management,0,105000
Department of Commerce,Economics and Statistics Administration,Salaries and Expenses,97000,104000
Department of the Interior,Office of the Special Trustee for American Indians,Tribal Trust Fund,100000,104000
Department of the Treasury,Financial Crimes Enforcement Network,Salaries and Expenses,111000,104000
Department of State,Other,National Endowment for Democracy,118000,103000
International Assistance Programs,Multilateral Assistance,Contribution to the Inter-American Development Bank,80000,102000
Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,Salaries and Expenses,100000,101000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Miscellaneous Permanent Appropriations,100000,100000
Department of the Treasury,Fiscal Service,Continued Dumping and Subsidy Offset,100000,100000
Department of Energy,Energy Programs,Nuclear Energy,0,100000
Department of Homeland Security,Federal Emergency Management Agency,Emergency Food and Shelter,121000,100000
National Science Foundation,National Science Foundation,Education and Human Resources,100000,100000
Department of Defense--Military Programs,Procurement,Joint Urgent Operational Needs Fund,0,99000
Department of Defense--Military Programs,Trust Funds,Voluntary Separation Incentive Fund,106000,99000
Department of Labor,Employment and Training Administration,Program Administration,98000,99000
Environmental Protection Agency,Environmental Protection Agency,Leaking Underground Storage Tank Trust Fund,110000,99000
Department of Homeland Security,Customs and Border Protection,"Refunds, Transfers, and Expenses of Operation, Puerto Rico",103000,99000
Office of Personnel Management,Office of Personnel Management,Civil Service Retirement and Disability Fund,91000,98000
Department of Justice,National Security Division,Salaries and Expenses,88000,96000
Department of Energy,Power Marketing Administration,"Construction, Rehabilitation, Operation and Maintenance, Western Area Power Administration",98000,96000
Office of Personnel Management,Office of Personnel Management,Salaries and Expenses,99000,96000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Education,137000,94000
Department of Health and Human Services,Program Support Center,Miscellaneous Trust Funds,91000,91000
Department of Agriculture,Office of Inspector General,Office of Inspector General,86000,90000
Department of the Interior,United States Fish and Wildlife Service,Cooperative Endangered Species Conservation Fund,63000,90000
Department of the Treasury,Fiscal Service,"Salaries and Expenses, Fiscal Service",74000,89000
Department of Justice,General Administration,Office of Inspector General,85000,86000
Department of Transportation,Office of Inspector General,Salaries and Expenses,86000,86000
Judicial Branch,Administrative Office of the United States Courts,Salaries and Expenses,83000,85000
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Payments to States in Lieu of Coal Fee Receipts,85000,85000
Department of Homeland Security,Federal Emergency Management Agency,Flood Hazard Mapping and Risk Analysis Program,99000,84000
Department of Agriculture,Agricultural Marketing Service,Marketing Services,83000,83000
Department of the Interior,Bureau of Safety and Environmental Enforcement,Offshore Safety and Environmental Enforcement,124000,83000
Department of Veterans Affairs,Departmental Administration,Grants for Construction of State Extended Care Facilities,86000,83000
Department of Justice,Radiation Exposure Compensation,Payment to Radiation Exposure Compensation Trust Fund,94000,82000
Department of Justice,Radiation Exposure Compensation,Radiation Exposure Compensation Trust Fund,94000,82000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",98000,81000
Department of Justice,Federal Bureau of Investigation,Construction,81000,81000
Department of Commerce,Bureau of Industry and Security,Operations and Administration,67000,80000
Department of the Interior,National Park Service,Land Acquisition and State Assistance,30000,80000
Department of Labor,Departmental Management,Office of the Inspector General,78000,80000
Department of Housing and Urban Development,Management and Administration,Transformation Initiative,50000,80000
Department of Agriculture,Economic Research Service,Economic Research Service,78000,79000
Department of the Interior,Bureau of Reclamation,Indian Water Rights Settlements,0,79000
Department of Agriculture,Forest Service,Forest Service Permanent Appropriations,241000,78000
Department of State,Administration of Foreign Affairs,Capital Investment Fund,60000,77000
Department of Homeland Security,Federal Emergency Management Agency,Salaries and Expenses,57000,77000
Department of Housing and Urban Development,Management and Administration,Fair Housing and Equal Opportunity Personnel Compensation and Benefits,73000,77000
Department of Veterans Affairs,Benefits Programs,Veterans Insurance and Indemnities,105000,77000
Department of Defense--Military Programs,Family Housing,"Family Housing Construction, Air Force",60000,76000
Department of Health and Human Services,Centers for Disease Control and Prevention,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",77000,76000
Department of Justice,Federal Prison System,Buildings and Facilities,55000,75000
Department of Housing and Urban Development,Public and Indian Housing Programs,Family Self-Sufficiency,0,75000
International Assistance Programs,Agency for International Development,Emergency Food Assistance Contingency Fund,0,75000
International Assistance Programs,Overseas Private Investment Corporation,Overseas Private Investment Corporation Program Account,58000,74000
Judicial Branch,Supreme Court of the United States,Salaries and Expenses,73000,73000
Department of Defense--Military Programs,Family Housing,"Family Housing Construction, Navy and Marine Corps",102000,73000
Department of the Interior,Department-Wide Programs,Natural Resource Damage Assessment Fund,82000,72000
Other Defense Civil Programs,American Battle Monuments Commission,Salaries and Expenses,77000,72000
Department of Agriculture,Risk Management Agency,Administrative and Operating Expenses,75000,71000
Department of the Interior,Bureau of Ocean Energy Management,Ocean Energy Management,-2000,71000
Department of the Interior,United States Fish and Wildlife Service,Land Acquisition,55000,71000
Department of Housing and Urban Development,Fair Housing and Equal Opportunity,Fair Housing Activities,71000,71000
Department of the Interior,National Park Service,Land Acquisition and State Assistance,73000,70000
Department of Health and Human Services,Office of the Inspector General,Office of the Inspector General,55000,69000
Department of Agriculture,Forest Service,Forest Service Permanent Appropriations,68000,68000
International Assistance Programs,Multilateral Assistance,Strategic Climate Fund,50000,68000
Other Defense Civil Programs,Armed Forces Retirement Home,Armed Forces Retirement Home,84000,68000
National Science Foundation,National Science Foundation,Research and Related Activities,68000,68000
Department of the Interior,United States Fish and Wildlife Service,Migratory Bird Conservation Account,52000,66000
Department of the Interior,Office of the Solicitor,Salaries and Expenses,67000,66000
Department of Justice,Office of Justice Programs,Public Safety Officer Benefits,62000,65000
Department of Education,Office of Special Education and Rehabilitative Services,National Technical Institute for the Deaf,66000,65000
Department of Homeland Security,National Protection and Programs Directorate,National Protection and Programs Directorate,51000,65000
Department of Health and Human Services,Administration for Children and Families,Supporting Healthy Families and Adolescent Development,63000,63000
International Assistance Programs,Trade and Development Agency,Trade and Development Agency,50000,63000
Department of Defense--Military Programs,Revolving and Management Funds,"Working Capital Fund, Air Force",306000,62000
Department of the Interior,Department-Wide Programs,Working Capital Fund,62000,62000
Department of Education,Departmental Management,Office of the Inspector General,60000,62000
Department of the Interior,Bureau of Land Management,Permanent Operating Funds,65000,61000
Department of the Interior,United States Fish and Wildlife Service,State Wildlife Grants,62000,61000
Department of the Interior,Insular Affairs,Assistance to Territories,61000,61000
International Assistance Programs,Overseas Private Investment Corporation,Overseas Private Investment Corporation Noncredit Account,104000,61000
Department of Commerce,Departmental Management,Salaries and Expenses,57000,60000
Department of Commerce,National Institute of Standards and Technology,Construction of Research Facilities,56000,60000
Department of the Interior,Bureau of Reclamation,Policy and Administration,60000,60000
Department of the Interior,Bureau of Reclamation,Reclamation Water Settlements Fund,60000,60000
Department of Agriculture,Forest Service,Land Acquisition,74000,59000
Department of the Interior,National Park Service,Historic Preservation Fund,106000,59000
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Susbstance Abuse and Mental Health Services Administration,0,58000
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, Antitrust Division",43000,58000
International Assistance Programs,Agency for International Development,Transition Initiatives,58000,58000
Department of Health and Human Services,Health Resources and Services Administration,Health Resources and Services,0,57000
Department of Agriculture,Forest Service,Land Acquisition,45000,56000
Department of Defense--Military Programs,Family Housing,"Family Housing Operation and Maintenance, Defense-Wide",51000,56000
Department of the Interior,United States Fish and Wildlife Service,Cooperative Endangered Species Conservation Fund,48000,56000
Department of Agriculture,Departmental Management,Departmental Administration,55000,55000
Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Cooperative Grants,0,55000
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,0,55000
Department of Transportation,Federal Railroad Administration,"Railroad Research, Development, and Technology",0,55000
Department of Homeland Security,Customs and Border Protection,Electronic System for Travel Authorization,54000,55000
Department of Housing and Urban Development,Housing Programs,Housing Counseling Assistance,45000,55000
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Fees of Jurors and Commissioners,52000,54000
Environmental Protection Agency,Environmental Protection Agency,Buildings and Facilities,37000,54000
International Assistance Programs,Agency for International Development,"Operating Expenses, Office of Inspector General",51000,54000
Department of the Interior,Bureau of Reclamation,Central Valley Project Restoration Fund,53000,53000
Department of Agriculture,Rural Business_Cooperative Service,Rural Business Program Account,75000,52000
Department of Commerce,National Telecommunications and Information Administration,Salaries and Expenses,46000,52000
Department of Health and Human Services,Administration for Children and Families,Children's Research and Technical Assistance,52000,52000
Department of the Interior,National Park Service,National Recreation and Preservation,60000,52000
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Hazardous Materials Safety,42000,52000
Department of Homeland Security,United States Secret Service,"Acquisition, Construction, and Improvements",5000,52000
Department of the Interior,Office of Inspector General,Salaries and Expenses,50000,51000
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,0,50000
Department of Commerce,National Oceanic and Atmospheric Administration,Pacific Coastal Salmon Recovery,65000,50000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Program Management,50000,50000
Department of Transportation,Maritime Administration,Ocean Freight Differential,102000,50000
Department of Housing and Urban Development,Policy Development and Research,Research and Technology,46000,50000
International Assistance Programs,Agency for International Development,"Miscellaneous Trust Funds, AID",50000,50000
International Assistance Programs,Agency for International Development,Development Credit Authority Program Account,8000,48000
Department of Labor,Office of Labor Management Standards,Salaries and Expenses,42000,47000
Department of Defense--Military Programs,Military Construction,"Military Construction, Air Force Reserve",34000,46000
Department of Defense--Military Programs,Revolving and Management Funds,"Working Capital Fund, Defense-Wide",252000,46000
Department of State,International Commissions,"Salaries and Expenses, IBWC",45000,46000
Other Defense Civil Programs,Cemeterial Expenses,Salaries and Expenses,46000,46000
Department of Agriculture,Office of the General Counsel,Office of the General Counsel,40000,45000
Department of Agriculture,Rural Business_Cooperative Service,Energy Assistance Payments,80000,45000
Department of State,Administration of Foreign Affairs,Conflict Stabilization Operations,8000,45000
Environmental Protection Agency,Environmental Protection Agency,Office of Inspector General,42000,45000
Department of Homeland Security,United States Coast Guard,Trust Fund Share of Expenses,45000,45000
Office of Personnel Management,Office of Personnel Management,"Government Payment for Annuitants, Employee Life Insurance",46000,45000
Department of Veterans Affairs,Departmental Administration,Grants for Construction of Veterans Cemeteries,46000,45000
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",38000,44000
Department of Defense--Military Programs,Family Housing,"Family Housing Construction, Army",178000,44000
Department of Defense--Military Programs,Trust Funds,Foreign National Employees Separation Pay,44000,44000
Department of Health and Human Services,Departmental Management,Office for Civil Rights,41000,42000
Department of Labor,Departmental Management,Office of Disability Employment Policy,39000,42000
Department of Energy,Departmental Administration,Office of the Inspector General,42000,42000
Department of Homeland Security,Domestic Nuclear Detection Office,Systems Acquisition,41000,42000
Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",Salaries and Expenses,38000,41000
Department of Agriculture,Rural Business_Cooperative Service,Rural Energy for America Program,68000,41000
Department of State,Administration of Foreign Affairs,Diplomatic and Consular Programs,40000,41000
Department of Homeland Security,Federal Emergency Management Agency,United States Fire Administration and Training,44000,41000
Department of the Interior,United States Fish and Wildlife Service,North American Wetlands Conservation Fund,36000,40000
Department of State,Other,Complex Crises Fund,40000,40000
Judicial Branch,Judicial Retirement Funds,Judicial Survivors' Annuities Fund,44000,39000
Department of Commerce,Economic Development Administration,Salaries and Expenses,38000,39000
